Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-28,Groceries,Online,Only hot capital industry practice.,1291,116.5
2024-05-08,Bills,Online,Almost agent.,2493,148.07
2024-05-23,Shopping,Cash,Interview join.,1953,71.14
2024-05-19,Subscriptions,Online,Sell reach about charge chance.,177,0.0
2024-05-30,Subscriptions,Cash,Rule discuss fact role.,635,0.0
2024-05-09,Entertainment,Online,Manager nature impact.,327,3.92
2024-05-17,Miscellaneous,Online,Enjoy service tell answer.,995,0.0
2024-05-08,Food,Online,Save security.,131,9.25
2024-05-19,Education,Online,Challenge rather dog.,5129,0.0
2024-05-19,Transportation,Online,Ok picture would level.,1477,0.0
2024-05-23,Subscriptions,Online,Enjoy whether eat staff.,710,0.0
2024-05-25,Healthcare,Online,Shoulder foreign cover thought.,3856,0.0
2024-05-20,Transportation,Cash,Smile hear protect.,929,0.0
2024-05-21,Subscriptions,Cash,Order family live.,835,0.0
2024-05-23,Bills,Cash,Lay risk spend.,1623,22.52
2024-05-11,Healthcare,Online,Boy significant group detail.,3053,0.0
2024-05-17,Education,Online,Fight big give.,7321,0.0
2024-05-13,Education,Online,Detail still where poor.,9673,0.0
2024-05-20,Education,Cash,Mouth lay significant box best.,4581,0.0
2024-05-11,Education,Cash,Poor before son.,4042,0.0
2024-05-24,Gifts,Online,Opportunity member boy everybody.,1973,0.0
2024-05-09,Bills,Online,Or soon performance the.,2856,115.75
2024-05-11,Gifts,Cash,Beat hair financial.,3106,0.0
2024-05-20,Food,Cash,Country cut.,454,24.07
2024-05-12,Transportation,Online,Medical national student.,1433,0.0
2024-05-08,Miscellaneous,Cash,No everything.,1380,0.0
2024-05-20,Bills,Cash,Job life ahead federal.,682,60.21
2024-05-11,Bills,Online,Mean fact southern win.,4439,349.55
2024-05-06,Education,Cash,Create cut fear statement.,7428,0.0
2024-05-03,Shopping,Cash,Summer deep rest policy.,686,39.21
2024-05-11,Travel,Cash,Structure seek purpose manager language.,2516,34.23
2024-05-18,Education,Cash,Not and.,9043,0.0
2024-05-13,Food,Cash,On his.,443,25.0
2024-05-20,Bills,Cash,Could there meeting the set.,3573,278.4
2024-05-28,Food,Online,Your center fly traditional collection.,522,25.91
2024-05-29,Healthcare,Cash,Again avoid thousand vote learn.,2893,0.0
2024-05-12,Travel,Online,Painting citizen size any.,10455,512.06
2024-05-02,Groceries,Online,Lawyer step firm effort.,418,36.51
2024-05-04,Bills,Cash,Kitchen until.,4474,380.4
2024-05-30,Shopping,Online,Common new.,504,42.81
2024-05-18,Groceries,Cash,Half argue relate however.,827,24.91
2024-05-04,Healthcare,Online,Yes decide.,435,0.0
2024-05-03,Healthcare,Cash,Program another half.,507,0.0
2024-05-03,Gifts,Online,Nation subject understand war seat.,526,0.0
2024-05-18,Food,Cash,Base method catch.,492,24.39
2024-05-20,Shopping,Cash,Space teach.,1596,87.23
2024-05-01,Healthcare,Online,Never decision between pass.,3363,0.0
2024-05-09,Healthcare,Cash,Minute later become at.,4302,0.0
2024-05-04,Gifts,Online,Education believe voice.,2861,0.0
2024-05-29,Shopping,Online,Trouble choice answer my large.,581,19.74
2024-05-28,Transportation,Cash,Notice somebody at.,376,0.0
2024-05-14,Groceries,Online,Window many.,1180,20.72
2024-05-07,Entertainment,Cash,Probably herself actually west.,1260,69.27
2024-05-19,Transportation,Online,Knowledge scientist.,1148,0.0
2024-05-07,Healthcare,Cash,Film apply easy you here.,314,0.0
2024-05-03,Education,Cash,Cost whom someone.,8727,0.0
2024-05-18,Subscriptions,Cash,Dinner agent.,333,0.0
2024-05-14,Entertainment,Online,Name feeling follow.,348,17.21
2024-05-19,Shopping,Online,Key knowledge sport might try.,1074,26.2
2024-05-22,Shopping,Online,Go produce there.,1378,137.58
2024-05-12,Travel,Cash,Friend true take.,3487,332.77
2024-05-24,Bills,Cash,Spend plan less.,2864,140.45
2024-05-11,Entertainment,Online,Unit field life small forget.,2123,38.13
2024-05-13,Bills,Cash,Generation order level.,3724,129.96
2024-05-27,Transportation,Cash,View address arrive.,435,0.0
2024-05-30,Gifts,Cash,Worker history more few.,3200,0.0
2024-05-21,Transportation,Cash,Situation get artist.,820,0.0
2024-05-26,Groceries,Cash,Enjoy easy world could economy.,1875,88.23
2024-05-20,Bills,Online,Admit development onto while.,733,61.73
2024-05-09,Transportation,Cash,Today beautiful establish.,755,0.0
2024-05-20,Healthcare,Online,Hundred order mother media issue.,2376,0.0
2024-05-21,Groceries,Cash,Power son economic visit.,462,29.88
2024-05-15,Shopping,Online,Charge candidate other.,3127,274.35
2024-05-21,Entertainment,Online,House subject decide medical.,1794,150.6
2024-05-29,Groceries,Cash,Knowledge nothing million bring.,554,46.68
2024-05-19,Education,Cash,Piece fine believe.,3662,0.0
2024-05-13,Subscriptions,Cash,Door almost north feeling many.,669,0.0
2024-05-23,Shopping,Cash,Song camera federal.,3094,211.69
2024-05-09,Miscellaneous,Cash,Happy customer anyone employee.,2340,0.0
2024-05-26,Travel,Online,Night development federal wish.,9716,165.81
2024-05-14,Travel,Cash,Fight he.,12994,544.51
2024-05-03,Bills,Cash,Face sound.,1508,69.3
2024-05-30,Gifts,Online,Be family stock person.,3635,0.0
2024-05-28,Groceries,Online,Avoid say Republican account beat.,1959,28.92
2024-05-11,Subscriptions,Online,Evening house provide.,230,0.0
2024-05-29,Food,Online,Its leader pressure.,306,14.52
2024-05-19,Travel,Cash,Morning its lay.,5507,425.57
2024-05-27,Transportation,Online,Section unit might.,763,0.0
2024-05-28,Transportation,Cash,Finally might seek.,164,0.0
2024-05-07,Travel,Cash,Start ten likely.,7433,474.16
2024-05-16,Groceries,Cash,Score eye fly former everything.,302,19.69
2024-05-23,Bills,Online,Scientist interest nor.,1383,98.65
2024-05-21,Miscellaneous,Online,Beyond little.,1352,0.0
2024-05-30,Transportation,Online,Much consumer.,852,0.0
2024-05-21,Healthcare,Cash,Discuss likely situation analysis.,2065,0.0
2024-05-28,Miscellaneous,Online,Candidate throw.,1187,0.0
2024-05-05,Gifts,Online,Purpose network try.,2748,0.0
2024-05-04,Subscriptions,Online,Food method soon.,753,0.0
2024-05-02,Subscriptions,Online,Far walk so.,464,0.0
2024-05-23,Food,Cash,Challenge suggest matter record.,405,17.96
2024-05-03,Healthcare,Online,Sign where arm.,3652,0.0
2024-05-11,Transportation,Cash,Study reduce door enjoy film.,1431,0.0
2024-05-15,Shopping,Online,Night finish company.,847,14.24
2024-05-19,Education,Online,Important kid message.,4651,0.0
2024-05-25,Entertainment,Online,Baby ago theory.,1078,75.06
2024-05-14,Entertainment,Cash,Lay air church tell.,1624,157.4
2024-05-12,Education,Online,Foot like with strong.,9679,0.0
2024-05-19,Miscellaneous,Online,Girl almost specific city.,950,0.0
2024-05-18,Shopping,Online,Along want significant.,510,28.53
2024-05-03,Healthcare,Cash,Would institution region high.,4276,0.0
2024-05-02,Gifts,Online,Must project growth just miss.,3681,0.0
2024-05-07,Travel,Online,Actually himself.,13815,1202.76
2024-05-20,Gifts,Cash,Cause than quite.,2067,0.0
2024-05-04,Miscellaneous,Online,Size world partner degree.,1425,0.0
2024-05-14,Transportation,Online,All serious receive break pay.,1198,0.0
2024-05-21,Miscellaneous,Cash,Fund see never deep industry.,2380,0.0
2024-05-25,Healthcare,Cash,Pm land suffer detail.,2535,0.0
2024-05-12,Education,Online,Use charge total well.,7726,0.0
2024-05-29,Subscriptions,Cash,Account house sometimes policy first.,169,0.0
2024-05-30,Entertainment,Online,Step real watch writer.,595,15.22
2024-05-02,Entertainment,Online,Card season white.,862,22.31
2024-05-11,Education,Online,Fall woman factor perhaps.,8830,0.0
2024-05-02,Subscriptions,Online,No once image structure focus.,275,0.0
2024-05-22,Shopping,Cash,Light others behind statement office.,2859,164.4
2024-05-17,Food,Cash,Forward month thousand program beyond.,468,42.5
2024-05-17,Subscriptions,Cash,Politics point it hit win.,418,0.0
2024-05-11,Transportation,Cash,Indeed successful girl TV anyone.,1287,0.0
2024-05-02,Bills,Online,Challenge message case smile score.,722,67.99
2024-05-13,Travel,Online,Finally senior rock simple.,3447,324.65
2024-05-23,Travel,Cash,After argue method.,4415,205.22
2024-05-03,Bills,Online,Pm mother use main week.,2778,108.04
2024-05-12,Healthcare,Online,Adult head why technology.,518,0.0
2024-05-04,Shopping,Cash,Media nothing husband.,2510,178.76
2024-05-08,Food,Online,Water reality investment.,431,37.62
2024-05-18,Bills,Online,Issue well again war.,1344,31.44
2024-05-13,Healthcare,Cash,Eat expect stuff response.,3964,0.0
2024-05-17,Gifts,Online,Traditional foot likely card family.,4733,0.0
2024-05-10,Entertainment,Cash,Reason something not.,336,15.25
2024-05-01,Transportation,Online,Phone good.,409,0.0
2024-05-30,Entertainment,Cash,Rate attention seek.,2394,223.8
2024-05-11,Shopping,Online,On recently law but.,631,35.69
2024-05-05,Bills,Online,Rock heart social school.,3653,152.99
2024-05-05,Groceries,Cash,Consider he while.,1637,92.72
2024-05-16,Transportation,Cash,Point senior run accept language.,1377,0.0
2024-05-24,Education,Online,Guy so hold positive simple.,6317,0.0
2024-05-04,Shopping,Online,Authority customer.,1076,66.34
2024-05-28,Food,Cash,Three production exist side.,527,10.47
2024-05-09,Education,Cash,Wife such.,6541,0.0
2024-05-27,Shopping,Cash,To reality enough.,705,54.43
2024-05-07,Entertainment,Online,Program growth leg.,752,54.28
2024-05-10,Food,Cash,Wish threat.,570,47.35
