Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-02-28,Gifts,Cash,Whether land line.,4606,0.0
2024-02-09,Bills,Cash,Skill very good affect.,4677,406.65
2024-02-13,Subscriptions,Online,Number outside.,969,0.0
2024-02-27,Shopping,Cash,Be argue ball popular.,3222,82.55
2024-02-10,Groceries,Online,Decision can.,1788,29.76
2024-02-26,Travel,Online,Value break guy significant.,10191,434.92
2024-02-02,Food,Online,Series office fast term cause.,448,43.05
2024-02-24,Miscellaneous,Cash,Computer turn anyone.,176,0.0
2024-02-05,Healthcare,Online,Service administration commercial land.,3070,0.0
2024-02-03,Bills,Online,Threat new start.,4801,112.12
2024-02-15,Transportation,Online,Air road.,1173,0.0
2024-02-15,Entertainment,Online,Site fund soldier.,1019,80.47
2024-02-08,Entertainment,Cash,Begin Mr huge.,2450,58.07
2024-02-03,Entertainment,Cash,Imagine speech design employee.,2108,63.29
2024-02-23,Gifts,Online,Fish play political nothing.,2950,0.0
2024-02-13,Bills,Online,Amount agent may order.,4862,261.29
2024-02-27,Travel,Online,Company could chair figure.,11305,745.8
2024-02-11,Shopping,Online,Model hospital camera size.,1076,52.05
2024-02-17,Shopping,Cash,From determine media cultural.,432,34.95
2024-02-02,Bills,Cash,Value defense of also little.,2230,25.44
2024-02-01,Entertainment,Cash,Conference Democrat.,304,10.27
2024-02-15,Shopping,Online,Fine rate natural partner.,2301,91.95
2024-02-02,Groceries,Cash,Station daughter certainly tax.,513,48.8
2024-02-02,Groceries,Cash,Beautiful wife.,1450,105.76
2024-02-05,Food,Online,Home a.,345,13.97
2024-02-01,Transportation,Online,Even on rise.,647,0.0
2024-02-11,Bills,Cash,Five simple phone firm on.,731,14.77
2024-02-15,Shopping,Cash,Instead pattern structure pattern.,3023,254.59
2024-02-20,Groceries,Online,Discuss leg like I.,740,14.08
2024-02-14,Healthcare,Cash,Serve training.,4756,0.0
2024-02-02,Education,Online,Beautiful fine news.,5692,0.0
2024-02-13,Entertainment,Online,Under set majority tend.,1906,94.34
2024-02-15,Gifts,Cash,Smile rather them.,406,0.0
2024-02-20,Food,Cash,Catch whole upon water.,404,25.29
2024-02-28,Travel,Online,Letter machine choose tell growth.,14936,1135.84
2024-02-01,Subscriptions,Cash,American result pretty only amount.,316,0.0
2024-02-02,Bills,Online,Tell however field financial.,2409,120.16
2024-02-19,Education,Cash,Color use budget rise room.,986,0.0
2024-02-15,Groceries,Online,Congress truth provide economy.,747,28.56
2024-02-20,Education,Cash,Practice stop despite.,4917,0.0
2024-02-09,Miscellaneous,Cash,Center manager add.,1727,0.0
2024-02-27,Gifts,Cash,Give reality everything lose.,4560,0.0
2024-02-07,Subscriptions,Cash,Force throw town law.,814,0.0
2024-02-12,Travel,Online,Answer song art executive.,14398,1335.35
2024-02-26,Gifts,Cash,Rock set.,3968,0.0
2024-02-24,Shopping,Online,Home standard site of.,363,12.28
2024-02-13,Education,Cash,How agreement community.,624,0.0
2024-02-12,Entertainment,Online,Character general stay discover.,2144,172.11
2024-02-03,Entertainment,Online,Bed water.,1790,39.64
2024-02-28,Food,Cash,Around smile back.,445,9.13
2024-02-11,Bills,Cash,Important water.,2301,136.48
2024-02-23,Miscellaneous,Online,Hear down view.,120,0.0
2024-02-20,Miscellaneous,Cash,Young cold term knowledge.,858,0.0
2024-02-04,Travel,Online,Eight policy expert.,8061,213.79
2024-02-06,Transportation,Cash,Tell a suffer around go.,503,0.0
2024-02-08,Education,Online,Reason win.,548,0.0
2024-02-27,Subscriptions,Online,Never economic listen.,690,0.0
2024-02-21,Travel,Online,Party report finally.,3772,364.97
2024-02-28,Gifts,Cash,Key support.,1891,0.0
2024-02-06,Groceries,Cash,Peace would reveal.,718,47.0
2024-02-25,Miscellaneous,Cash,Season director study.,2731,0.0
2024-02-16,Miscellaneous,Cash,Thus leave.,2654,0.0
2024-02-21,Subscriptions,Cash,Floor accept baby left cup.,354,0.0
2024-02-11,Transportation,Cash,Term laugh region.,455,0.0
2024-02-01,Subscriptions,Cash,Huge ability wide itself.,893,0.0
2024-02-01,Subscriptions,Cash,Start capital table success.,795,0.0
2024-02-01,Food,Cash,Politics box community program.,385,5.88
2024-02-21,Bills,Cash,Theory song today skin.,2144,168.85
2024-02-21,Transportation,Cash,All animal end.,681,0.0
2024-02-13,Education,Cash,Consider find almost night.,9826,0.0
2024-02-25,Education,Cash,Many walk police.,7737,0.0
2024-02-21,Healthcare,Online,Attack put through.,2853,0.0
2024-02-03,Entertainment,Cash,Against interest determine should.,1302,107.22
2024-02-17,Travel,Online,Job south community make administration.,2960,262.21
2024-02-11,Healthcare,Online,Generation company.,2469,0.0
2024-02-20,Subscriptions,Cash,East radio heart general research.,614,0.0
2024-02-17,Miscellaneous,Online,Movement high customer run.,642,0.0
2024-02-24,Subscriptions,Cash,Treatment watch.,718,0.0
2024-02-24,Education,Cash,Evening with cultural.,2576,0.0
2024-02-22,Entertainment,Online,Beat own world employee important.,1590,74.34
2024-02-21,Healthcare,Cash,Difficult nice myself seven new.,3500,0.0
2024-02-21,Groceries,Cash,Human movement.,1191,62.67
2024-02-03,Transportation,Online,There mouth what run.,457,0.0
2024-02-27,Miscellaneous,Cash,Civil commercial feeling citizen first.,2282,0.0
2024-02-21,Healthcare,Cash,How such floor specific current.,3475,0.0
2024-02-28,Gifts,Cash,Accept machine play responsibility.,397,0.0
2024-02-26,Entertainment,Online,Process perform attack.,1193,73.56
2024-02-12,Education,Online,List writer.,1441,0.0
2024-02-06,Gifts,Online,Place design including worry.,480,0.0
2024-02-08,Subscriptions,Online,Political thing history or.,381,0.0
2024-02-02,Miscellaneous,Online,Article specific fly what.,2186,0.0
2024-02-12,Travel,Cash,Less usually region approach thought.,4125,290.53
2024-02-12,Entertainment,Online,Feeling economic.,997,73.83
2024-02-12,Transportation,Cash,Alone sometimes series college.,557,0.0
2024-02-23,Gifts,Cash,Read guess.,3218,0.0
2024-02-21,Food,Online,Candidate might issue.,458,19.28
2024-02-26,Miscellaneous,Cash,Dog cell in move.,157,0.0
2024-02-13,Shopping,Online,Discuss soldier standard perform.,1832,130.43
2024-02-16,Shopping,Cash,Ground crime put movie three.,1869,132.41
2024-02-07,Miscellaneous,Cash,Successful eye very experience.,1644,0.0
2024-02-04,Food,Cash,Author loss.,187,14.46
2024-02-09,Bills,Online,Image upon most.,2716,255.46
2024-02-26,Healthcare,Online,Officer never their.,4542,0.0
2024-02-24,Healthcare,Online,What agency.,4432,0.0
2024-02-20,Bills,Online,Record discuss end.,3243,53.78
2024-02-21,Groceries,Cash,Son middle only charge.,616,49.36
2024-02-28,Groceries,Cash,Cost Mrs notice long.,1139,18.12
2024-02-14,Miscellaneous,Online,Section level third expect.,2718,0.0
2024-02-28,Education,Online,End treat career court four.,3597,0.0
2024-02-10,Shopping,Online,Paper poor include his.,3412,240.1
2024-02-25,Gifts,Cash,Political Republican fish create.,635,0.0
2024-02-07,Food,Cash,Money law produce range difference.,397,24.35
2024-02-15,Transportation,Cash,Unit fish.,1282,0.0
2024-02-12,Food,Online,Mouth factor.,373,25.66
2024-02-16,Transportation,Cash,Occur focus stock miss.,748,0.0
2024-02-09,Food,Online,Individual strategy wonder.,323,25.48
2024-02-20,Travel,Cash,Among system whose.,11939,277.07
2024-02-23,Subscriptions,Cash,Congress official.,814,0.0
2024-02-18,Transportation,Online,Civil green protect magazine everything.,931,0.0
2024-02-05,Gifts,Online,Its wind agreement name.,1662,0.0
2024-02-02,Gifts,Online,Poor mission realize.,4461,0.0
2024-02-14,Gifts,Online,Challenge suffer kid.,3475,0.0
2024-02-19,Groceries,Online,Suddenly television understand away stay.,1243,89.19
2024-02-05,Education,Cash,Black surface call line without.,9141,0.0
2024-02-05,Entertainment,Cash,Involve guy food born.,1318,36.76
2024-02-06,Gifts,Cash,Father amount himself cut set.,2870,0.0
2024-02-26,Education,Cash,Source remain police truth.,4192,0.0
2024-02-22,Gifts,Online,Business TV.,2499,0.0
2024-02-12,Food,Online,Read occur ago support.,158,5.78
2024-02-11,Travel,Cash,Meet window you blood.,6115,557.28
2024-02-04,Healthcare,Cash,Reality economy.,3008,0.0
2024-02-11,Travel,Cash,Lay money.,13979,576.96
2024-02-01,Travel,Cash,Leg oil.,4595,436.57
2024-02-13,Entertainment,Cash,Size position culture.,305,22.5
2024-02-07,Bills,Online,Past dinner.,4271,110.62
2024-02-18,Entertainment,Cash,Prevent investment understand.,2317,212.29
2024-02-03,Shopping,Online,Woman page choose force.,2133,195.3
2024-02-26,Subscriptions,Online,Happen blood.,710,0.0
2024-02-05,Entertainment,Cash,Building behavior thank fine.,1075,101.77
2024-02-25,Education,Cash,Exactly opportunity.,9017,0.0
2024-02-20,Subscriptions,Online,More our worker.,198,0.0
2024-02-14,Bills,Cash,Live help.,2623,173.54
2024-02-17,Education,Cash,The culture.,7235,0.0
2024-02-04,Travel,Cash,None have listen.,13668,1097.13
2024-02-01,Healthcare,Online,Person recently film.,4418,0.0
2024-02-12,Miscellaneous,Online,Shoulder prepare price believe.,1569,0.0
2024-02-25,Miscellaneous,Online,Fight section determine feel particularly.,1868,0.0
2024-02-14,Gifts,Online,Production size so cold.,3681,0.0
2024-02-20,Miscellaneous,Cash,Information inside will.,2753,0.0
2024-02-06,Travel,Online,Gun buy better.,13656,174.16
2024-02-21,Entertainment,Online,Form culture.,992,33.76
2024-02-06,Gifts,Online,These late.,1602,0.0
2024-02-03,Miscellaneous,Cash,Maybe attorney there college.,276,0.0
2024-02-14,Miscellaneous,Online,These wall.,874,0.0
2024-02-10,Gifts,Online,Art appear above skin go.,4103,0.0
2024-02-25,Gifts,Online,Billion risk significant poor.,859,0.0
2024-02-03,Groceries,Online,Magazine himself out sure.,1012,15.09
2024-02-02,Subscriptions,Cash,Very protect pattern like already.,855,0.0
2024-02-09,Transportation,Online,Foreign responsibility develop.,357,0.0
2024-02-25,Food,Cash,Design high.,520,16.85
2024-02-16,Shopping,Cash,Term grow matter speech professional.,2795,70.17
2024-02-12,Travel,Online,Effort early tough.,3444,41.65
2024-02-10,Groceries,Cash,Detail need teacher car.,1175,25.63
2024-02-19,Education,Cash,Employee according week.,8920,0.0
2024-02-06,Healthcare,Cash,Section bring.,4712,0.0
2024-02-01,Entertainment,Cash,Democratic great.,772,10.32
2024-02-01,Shopping,Online,Building business pass billion term.,602,27.52
2024-02-28,Travel,Cash,Not protect move.,7758,466.24
2024-02-12,Food,Online,Thank hand relate.,194,17.75
2024-02-06,Food,Online,Up power do keep miss.,252,9.16
2024-02-08,Entertainment,Online,Build old task specific less.,527,45.44
2024-02-06,Shopping,Cash,Buy as blood.,3353,324.92
2024-02-15,Education,Online,Energy chance human miss.,5199,0.0
2024-02-18,Groceries,Cash,Accept media.,645,47.62
2024-02-03,Bills,Cash,Evening sure high.,4828,206.22
2024-02-23,Miscellaneous,Online,Level exactly some.,2380,0.0
2024-02-06,Food,Cash,Meeting general along forget site.,158,9.35
2024-02-05,Healthcare,Cash,Fly friend religious writer.,2720,0.0
2024-02-22,Shopping,Online,During phone act over.,2234,23.14
2024-02-23,Miscellaneous,Cash,Commercial could deep find.,905,0.0
2024-02-02,Gifts,Cash,Simply way risk.,2467,0.0
2024-02-03,Miscellaneous,Cash,Sport around often them.,389,0.0
2024-02-26,Shopping,Cash,Citizen recently.,2430,231.53
2024-02-22,Transportation,Cash,Subject smile live citizen.,613,0.0
2024-02-15,Healthcare,Online,Into address final name.,4805,0.0
2024-02-27,Bills,Online,Marriage not say hospital.,2964,272.49
2024-02-17,Education,Cash,Close sit.,4750,0.0
2024-02-07,Shopping,Cash,Republican down.,714,64.14
2024-02-20,Entertainment,Online,Them always operation.,356,25.58
2024-02-10,Healthcare,Cash,Skill national third.,4469,0.0
2024-02-10,Groceries,Online,Woman what your hear.,649,13.65
2024-02-28,Healthcare,Online,Can task assume.,4529,0.0
2024-02-16,Food,Cash,Financial night.,513,48.14
2024-02-23,Travel,Cash,Enter however.,7877,183.79
2024-02-25,Subscriptions,Cash,Choice six car.,591,0.0
2024-02-08,Healthcare,Cash,Arrive shake music find.,2194,0.0
2024-02-06,Entertainment,Cash,East then seem consider.,984,61.11
2024-02-16,Entertainment,Cash,Professor skill just customer never.,1781,143.87
2024-02-17,Travel,Cash,Debate eye point.,3093,262.94
2024-02-14,Healthcare,Online,Politics leave offer serious.,4127,0.0
