Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-01-08,Gifts,Cash,Back TV will campaign character.,1515,0.0
2024-01-16,Groceries,Cash,Although big almost.,1992,193.25
2024-01-04,Shopping,Online,Idea coach.,1000,42.9
2024-01-18,Education,Cash,Oil popular.,2303,0.0
2024-01-20,Gifts,Online,Exist performance discussion direction.,2745,0.0
2024-01-10,Healthcare,Cash,Else position.,1402,0.0
2024-01-30,Groceries,Online,Worker say.,1856,20.33
2024-01-02,Subscriptions,Online,Wall able thus serious describe.,995,0.0
2024-01-22,Subscriptions,Online,Decision well office week positive.,503,0.0
2024-01-13,Groceries,Online,Risk bar short home.,1140,11.72
2024-01-23,Groceries,Online,Image front teacher.,637,33.22
2024-01-29,Education,Cash,Story debate Mr personal.,2166,0.0
2024-01-24,Shopping,Online,Deep place.,1877,119.98
2024-01-10,Transportation,Cash,Visit everybody control picture son.,1329,0.0
2024-01-14,Miscellaneous,Online,Civil price interview.,860,0.0
2024-01-03,Entertainment,Cash,Player vote throw of.,790,25.98
2024-01-08,Healthcare,Online,Message factor.,3718,0.0
2024-01-27,Transportation,Cash,Bag couple pay serve career.,478,0.0
2024-01-19,Bills,Online,Result choice control.,1866,84.57
2024-01-06,Shopping,Online,Suggest song.,3419,149.87
2024-01-16,Transportation,Cash,Next plant later education material.,371,0.0
2024-01-30,Healthcare,Cash,Themselves space.,4763,0.0
2024-01-20,Travel,Cash,Voice street.,3064,167.0
2024-01-30,Groceries,Cash,Agent hand hard art.,757,28.37
2024-01-23,Food,Cash,Although cost while.,164,2.98
2024-01-08,Subscriptions,Online,Man factor attorney.,997,0.0
2024-01-08,Healthcare,Cash,Laugh do.,1439,0.0
2024-01-27,Shopping,Online,Or out study different.,1385,98.46
2024-01-08,Subscriptions,Online,Meet piece form where.,493,0.0
2024-01-16,Food,Online,Nearly network.,204,11.47
2024-01-24,Travel,Online,Feel check parent.,8554,168.72
2024-01-03,Miscellaneous,Cash,Hospital car increase.,290,0.0
2024-01-14,Subscriptions,Cash,Case else least fact.,498,0.0
2024-01-09,Education,Cash,Appear benefit.,7041,0.0
2024-01-19,Bills,Online,Them with skill between claim.,4491,347.63
2024-01-27,Shopping,Cash,Thousand describe a.,1597,29.79
2024-01-18,Healthcare,Cash,That popular positive.,4685,0.0
2024-01-28,Food,Online,Street class ready.,275,4.22
2024-01-19,Subscriptions,Cash,View American first realize.,571,0.0
2024-01-20,Shopping,Cash,Doctor several threat friend magazine.,2181,74.56
2024-01-06,Subscriptions,Cash,Often despite.,177,0.0
2024-01-07,Groceries,Online,Anyone theory phone never task.,1170,92.26
2024-01-28,Groceries,Cash,Woman book.,930,29.48
2024-01-25,Bills,Cash,Wonder many agent yet.,4226,420.94
2024-01-07,Shopping,Online,Compare accept several more recent.,1506,61.34
2024-01-14,Education,Online,Crime number all mission.,3472,0.0
2024-01-19,Miscellaneous,Cash,Store avoid.,2317,0.0
2024-01-05,Travel,Online,Although anyone.,5448,279.19
2024-01-28,Miscellaneous,Online,Realize difficult plant current economy.,2729,0.0
2024-01-08,Education,Online,Check under stand national.,9281,0.0
2024-01-27,Shopping,Cash,Debate really believe truth.,1930,176.79
2024-01-26,Bills,Online,Usually return staff discussion.,2517,144.93
2024-01-17,Travel,Online,Month fish board area.,14129,1304.75
2024-01-11,Education,Online,Theory kitchen voice.,6007,0.0
2024-01-06,Subscriptions,Online,Citizen miss head push discover.,638,0.0
2024-01-02,Shopping,Online,Interest everyone.,3268,125.21
2024-01-11,Bills,Cash,Lead wonder.,2117,169.94
2024-01-19,Groceries,Online,Ok question easy usually.,1610,75.84
2024-01-27,Bills,Online,Same bank talk keep treatment.,876,54.1
2024-01-20,Groceries,Online,Treatment huge modern put person.,1384,100.02
2024-01-20,Transportation,Online,Sound break traditional part cup.,939,0.0
2024-01-07,Travel,Online,Side worker western.,10407,219.83
2024-01-04,Gifts,Cash,Mean improve hear claim standard.,1183,0.0
2024-01-10,Education,Cash,Outside professional by well.,5143,0.0
2024-01-03,Groceries,Online,Product five thus risk.,1006,30.48
2024-01-04,Entertainment,Online,Other field.,1893,44.82
2024-01-21,Shopping,Online,Fire hotel rock.,712,44.24
2024-01-29,Food,Online,Stand throughout century.,384,6.55
2024-01-03,Healthcare,Cash,Of share.,2770,0.0
2024-01-06,Food,Cash,Charge support argue development wonder.,214,11.24
2024-01-08,Gifts,Cash,Money join.,2343,0.0
2024-01-05,Bills,Online,Generation alone beat whether.,3185,174.34
2024-01-19,Education,Cash,Total another present.,3362,0.0
2024-01-27,Subscriptions,Online,Stuff weight.,989,0.0
2024-01-14,Bills,Online,Old authority.,3537,278.94
2024-01-21,Subscriptions,Online,Boy find course.,796,0.0
2024-01-28,Food,Cash,Organization through follow.,561,43.4
2024-01-09,Shopping,Cash,Seven production middle ok cost.,2675,180.18
2024-01-26,Healthcare,Cash,Service record focus listen.,1124,0.0
2024-01-20,Bills,Cash,Law account drive.,1863,138.77
2024-01-08,Travel,Cash,Month our man.,13666,297.89
2024-01-18,Groceries,Cash,Tonight trade painting TV.,607,22.69
2024-01-26,Transportation,Online,Machine beyond by.,164,0.0
2024-01-25,Miscellaneous,Online,Possible middle task support visit.,2287,0.0
2024-01-14,Shopping,Cash,Himself see data.,572,54.9
2024-01-18,Transportation,Online,Quite including stuff which month.,844,0.0
2024-01-19,Healthcare,Online,Concern situation.,4000,0.0
2024-01-08,Education,Online,Let their performance organization.,8477,0.0
2024-01-27,Miscellaneous,Online,Chair campaign.,1490,0.0
2024-01-15,Bills,Online,Tend smile difference free strong.,4604,367.39
2024-01-07,Travel,Cash,Choose which seven to.,8462,131.13
2024-01-21,Education,Online,Picture believe much bed box.,6426,0.0
2024-01-10,Travel,Online,Reason audience interesting some.,2072,45.67
2024-01-24,Subscriptions,Online,Field record side let.,796,0.0
2024-01-25,Shopping,Online,Experience idea Mr American.,1245,62.45
2024-01-20,Education,Cash,Lose media fill seem scientist.,7733,0.0
2024-01-28,Subscriptions,Cash,Show require up resource.,383,0.0
2024-01-29,Healthcare,Online,Me organization modern.,1584,0.0
2024-01-17,Transportation,Online,Night kind build stay.,389,0.0
2024-01-13,Education,Cash,Your necessary west turn.,7673,0.0
2024-01-03,Food,Cash,Reveal wait eight education.,320,11.36
2024-01-27,Bills,Online,Than support poor subject.,2685,190.16
2024-01-09,Food,Cash,Remain message time so.,403,11.34
2024-01-30,Travel,Online,Radio several moment all there.,10417,855.26
2024-01-15,Entertainment,Cash,Ability safe simple.,382,30.95
2024-01-26,Bills,Cash,Law sea exist.,2891,109.08
2024-01-29,Healthcare,Cash,Short tonight.,4763,0.0
2024-01-01,Education,Cash,Great third.,9976,0.0
2024-01-03,Subscriptions,Online,Argue large little.,555,0.0
2024-01-06,Bills,Cash,For lead level.,4596,207.43
2024-01-22,Travel,Online,Day tend discuss about.,9288,618.62
2024-01-09,Education,Cash,Structure floor shake seek.,5013,0.0
2024-01-05,Groceries,Online,Street especially.,1972,181.14
2024-01-22,Travel,Online,Him these attorney risk.,7810,654.28
2024-01-19,Miscellaneous,Cash,Evidence pull focus.,594,0.0
2024-01-05,Food,Cash,Economy analysis.,176,5.92
2024-01-17,Travel,Cash,Lot avoid.,1164,48.69
2024-01-22,Shopping,Online,Step stock certainly.,1637,141.31
2024-01-25,Shopping,Cash,Cell task so.,3290,136.63
