Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-06,Bills,Cash,Factor police place draw.,763,63.04
2024-10-10,Groceries,Cash,Sport serious at true.,422,31.05
2024-10-27,Entertainment,Online,Idea seek stand history.,597,20.87
2024-10-20,Bills,Online,Suddenly police important use.,4263,313.89
2024-10-09,Food,Cash,Poor image all detail.,585,24.89
2024-10-22,Subscriptions,Online,Line or practice.,320,0.0
2024-10-19,Subscriptions,Cash,Only I toward student season.,420,0.0
2024-10-13,Shopping,Online,Piece prepare statement though.,642,19.7
2024-10-26,Shopping,Online,Voice visit.,2676,81.23
2024-10-10,Entertainment,Cash,Manager whom.,1699,36.72
2024-10-12,Shopping,Online,Serve executive position.,3446,34.81
2024-10-18,Transportation,Online,Strategy sit person product.,1461,0.0
2024-10-23,Entertainment,Cash,Find anything win finally.,2246,217.2
2024-10-19,Bills,Cash,Instead view little get everything.,954,29.51
2024-10-19,Travel,Online,Family everyone.,2778,58.27
2024-10-12,Transportation,Online,Today radio enter practice.,659,0.0
2024-10-14,Entertainment,Online,Level cover present least.,1328,126.51
2024-10-17,Miscellaneous,Cash,Seem other fly.,1209,0.0
2024-10-09,Food,Online,Imagine good hope.,583,23.58
2024-10-24,Transportation,Online,Offer then.,904,0.0
2024-10-01,Transportation,Cash,Cell test least player.,1419,0.0
2024-10-17,Miscellaneous,Cash,Reduce least.,2814,0.0
2024-10-16,Groceries,Cash,Choose society hotel.,654,9.4
2024-10-29,Education,Online,Section practice free be not.,4488,0.0
2024-10-26,Education,Online,Structure north.,1584,0.0
2024-10-14,Entertainment,Cash,Such level his wish.,1723,41.98
2024-10-04,Education,Cash,Sign study force.,8482,0.0
2024-10-23,Groceries,Online,Avoid source fight thing.,517,11.78
2024-10-03,Gifts,Online,Few development true air into.,411,0.0
2024-10-07,Entertainment,Cash,Vote interesting either travel.,1437,64.61
2024-10-01,Groceries,Online,Mrs idea century.,1603,75.95
2024-10-06,Food,Online,Attack both degree.,226,5.46
2024-10-02,Gifts,Cash,Without parent you.,3122,0.0
2024-10-13,Healthcare,Online,Cost industry life.,3227,0.0
2024-10-12,Travel,Online,Lose power.,14765,1209.56
2024-10-16,Groceries,Cash,Something agency Mrs table.,708,63.92
2024-10-04,Gifts,Online,Out ok.,3226,0.0
2024-10-20,Healthcare,Cash,Election foreign.,4152,0.0
2024-10-16,Subscriptions,Online,Its newspaper middle.,531,0.0
2024-10-26,Gifts,Cash,Imagine test same debate.,1518,0.0
2024-10-13,Miscellaneous,Online,Data finish little everybody.,2956,0.0
2024-10-19,Subscriptions,Online,Resource nature worker.,306,0.0
2024-10-02,Healthcare,Cash,Word research.,3377,0.0
2024-10-09,Transportation,Cash,Thought official partner.,1359,0.0
2024-10-24,Healthcare,Cash,Bar check.,2756,0.0
2024-10-17,Gifts,Cash,Person soon serve hour minute.,913,0.0
2024-10-05,Transportation,Online,Keep difference current early gas.,1363,0.0
2024-10-03,Shopping,Cash,Phone movie top what.,2067,80.47
2024-10-28,Transportation,Cash,North floor four poor land.,145,0.0
2024-10-23,Gifts,Online,Have four peace food.,1696,0.0
2024-10-06,Education,Cash,Although individual certainly everyone.,7505,0.0
2024-10-23,Education,Cash,Find bar hope yourself.,2724,0.0
2024-10-30,Transportation,Online,Local social.,335,0.0
