Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-07-13,Bills,Online,Leader court nearly.,1441,114.79
2024-07-24,Education,Cash,Material far according food strong.,7462,0.0
2024-07-13,Bills,Online,Firm over could carry account.,1846,46.45
2024-07-10,Gifts,Online,Live short already religious.,587,0.0
2024-07-28,Healthcare,Online,Small break allow bed.,4676,0.0
2024-07-10,Groceries,Cash,Home others.,1715,105.32
2024-07-20,Subscriptions,Online,Until heavy bar fight.,883,0.0
2024-07-09,Entertainment,Cash,Box Congress assume.,846,75.67
2024-07-22,Shopping,Online,Floor human grow beat apply.,2599,125.36
2024-07-18,Miscellaneous,Cash,Group environment set color goal.,2446,0.0
2024-07-17,Gifts,Cash,Involve market.,4872,0.0
2024-07-26,Entertainment,Cash,With shoulder city foreign.,1759,137.9
2024-07-11,Food,Cash,Mission collection pass yourself attack.,282,7.37
2024-07-08,Food,Cash,Identify just election medical affect.,517,35.62
2024-07-02,Food,Online,Trip arrive specific.,228,14.19
2024-07-19,Subscriptions,Cash,Door million position.,906,0.0
2024-07-23,Travel,Cash,Pattern put.,11952,676.79
2024-07-28,Education,Cash,Dark half article.,1291,0.0
2024-07-10,Transportation,Cash,Read want generation.,771,0.0
2024-07-03,Gifts,Online,Hour board popular her.,705,0.0
2024-07-06,Subscriptions,Online,Road site need.,408,0.0
2024-07-26,Travel,Cash,Executive several.,10368,199.14
2024-07-04,Groceries,Cash,Deep along.,707,21.43
2024-07-02,Groceries,Cash,At mind Mrs.,1386,58.15
2024-07-24,Gifts,Cash,Movement TV eat.,3648,0.0
2024-07-05,Bills,Cash,General show investment.,3100,69.77
2024-07-02,Entertainment,Online,Sound already close.,2390,152.69
2024-07-20,Bills,Cash,Hope think study.,1500,89.08
2024-07-13,Entertainment,Online,Child reason myself character.,1004,53.44
2024-07-06,Groceries,Cash,Return affect study.,1345,133.04
2024-07-27,Food,Cash,Section return boy.,536,40.19
2024-07-15,Entertainment,Cash,Worry everyone day.,1490,99.36
2024-07-30,Bills,Online,Among and meeting much figure.,4408,69.1
2024-07-27,Shopping,Online,New should citizen.,3163,298.11
2024-07-23,Miscellaneous,Cash,Development themselves next boy eye.,2179,0.0
2024-07-13,Food,Online,Family research cultural.,475,18.16
2024-07-20,Transportation,Online,Anyone president near who around.,858,0.0
2024-07-11,Groceries,Cash,Do use.,1106,65.69
2024-07-30,Transportation,Online,Box knowledge central cell table.,1272,0.0
2024-07-08,Education,Online,Already group future.,7726,0.0
2024-07-08,Entertainment,Cash,Fish city before expect.,1747,163.17
2024-07-28,Miscellaneous,Online,Yet seat drug room significant.,137,0.0
2024-07-07,Travel,Cash,School type nor road.,4443,276.11
2024-07-17,Healthcare,Cash,Member like them radio.,1254,0.0
2024-07-03,Bills,Online,Next explain company sort.,1406,81.92
2024-07-30,Miscellaneous,Online,Great culture series down.,2411,0.0
2024-07-13,Miscellaneous,Cash,Technology glass.,2438,0.0
2024-07-05,Travel,Online,Current begin nature.,8486,203.44
2024-07-27,Groceries,Online,Close authority its.,1967,88.84
2024-07-15,Shopping,Online,However likely certain seat environment.,2705,186.38
2024-07-25,Travel,Online,Drug accept.,8588,622.7
2024-07-29,Food,Online,Start police around figure he.,441,7.79
2024-07-10,Shopping,Online,Gas hold camera.,3312,175.3
2024-07-03,Food,Cash,Through strategy design financial.,562,8.04
2024-07-13,Miscellaneous,Cash,Edge myself reality.,777,0.0
2024-07-24,Transportation,Cash,Serious prepare recent would.,286,0.0
2024-07-07,Transportation,Cash,Woman dream seek shoulder.,884,0.0
2024-07-27,Shopping,Online,Financial with work.,626,43.42
2024-07-21,Bills,Online,Total necessary.,2729,235.3
2024-07-03,Transportation,Online,Million cover theory perform.,443,0.0
2024-07-08,Healthcare,Cash,Mention set wrong they.,1768,0.0
2024-07-12,Groceries,Online,Blood eye nearly.,1873,115.03
2024-07-08,Travel,Online,Us reason upon.,3365,63.17
2024-07-20,Shopping,Online,Would lose then.,450,23.48
2024-07-12,Food,Online,Memory base.,366,12.75
2024-07-16,Groceries,Online,There sign require the.,1732,76.96
2024-07-20,Education,Cash,Charge open give.,2323,0.0
2024-07-03,Food,Cash,Apply research.,229,20.59
2024-07-03,Education,Cash,Participant short.,9867,0.0
2024-07-22,Bills,Online,Answer get set scene respond.,3097,234.38
2024-07-13,Travel,Cash,Raise hospital gun those success.,13459,726.17
2024-07-10,Shopping,Online,Few bring must shake.,1049,24.76
2024-07-07,Transportation,Online,This unit.,730,0.0
2024-07-23,Miscellaneous,Cash,Including professional change attention no.,2691,0.0
2024-07-06,Healthcare,Online,Language music head though.,688,0.0
2024-07-06,Entertainment,Cash,Effort since maintain.,1563,146.24
2024-07-10,Subscriptions,Online,Drop suggest southern.,145,0.0
2024-07-24,Healthcare,Cash,Type Republican pattern organization.,4182,0.0
