Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-06-14,Food,Cash,Option market mission.,144,6.79
2024-06-01,Bills,Cash,Plant eye hot.,581,9.78
2024-06-02,Shopping,Cash,Long test bar.,1796,21.59
2024-06-28,Miscellaneous,Online,Table a form.,1402,0.0
2024-06-16,Healthcare,Online,Company realize space much college.,4643,0.0
2024-06-18,Shopping,Online,Necessary music structure need.,2279,110.64
2024-06-22,Subscriptions,Online,Else development Congress build.,201,0.0
2024-06-22,Groceries,Cash,Garden possible way single.,1162,51.79
2024-06-23,Shopping,Online,Top more.,613,42.28
2024-06-04,Miscellaneous,Online,Then especially.,669,0.0
2024-06-13,Transportation,Cash,Toward single officer.,624,0.0
2024-06-04,Groceries,Online,Color prepare garden notice.,1787,55.87
2024-06-10,Gifts,Cash,Pull life enter from.,1640,0.0
2024-06-12,Transportation,Cash,Few money realize morning common.,1291,0.0
2024-06-08,Food,Online,Talk almost raise three.,190,11.54
2024-06-25,Healthcare,Online,Whom quickly couple need.,4632,0.0
2024-06-12,Travel,Online,Raise expert teacher.,3212,71.74
2024-06-12,Travel,Online,Movement seat modern make free.,14015,843.98
2024-06-22,Bills,Online,Pass foreign offer wrong new.,789,56.73
2024-06-22,Entertainment,Cash,Team heavy up tough purpose.,2211,53.57
2024-06-20,Transportation,Cash,Child maybe himself company.,1033,0.0
2024-06-03,Bills,Online,Fire coach recognize.,3174,272.82
2024-06-11,Bills,Online,Better either environment should.,2406,166.09
2024-06-21,Gifts,Cash,Such agree.,1243,0.0
2024-06-04,Miscellaneous,Cash,Effect test probably receive you.,2488,0.0
2024-06-14,Travel,Online,Policy thus coach forget economy.,7594,111.72
2024-06-14,Food,Online,Nearly after.,588,13.58
2024-06-11,Subscriptions,Cash,Space cell life key read.,983,0.0
2024-06-10,Healthcare,Online,Drive beautiful glass manage.,4954,0.0
2024-06-04,Education,Online,Value anyone deal talk.,2214,0.0
2024-06-23,Transportation,Online,Make message seem true.,1330,0.0
2024-06-28,Transportation,Online,Above conference.,428,0.0
2024-06-17,Entertainment,Online,Still really case season.,1936,68.95
2024-06-02,Groceries,Online,Why successful myself why budget.,1596,109.28
2024-06-13,Healthcare,Online,Bring without produce pull table.,1052,0.0
2024-06-27,Groceries,Online,Expect serve around.,1576,145.86
2024-06-17,Subscriptions,Online,Number evidence business.,825,0.0
2024-06-10,Groceries,Cash,Shake remember fast.,1815,177.53
2024-06-21,Transportation,Cash,Big Mrs.,422,0.0
2024-06-18,Shopping,Cash,Join hit never.,3002,221.64
2024-06-28,Transportation,Online,Bring increase whom instead.,227,0.0
2024-06-07,Gifts,Cash,Military new.,4655,0.0
2024-06-10,Miscellaneous,Online,Dream doctor especially.,1820,0.0
2024-06-16,Education,Cash,Admit apply debate ground.,6023,0.0
2024-06-23,Shopping,Online,One police best fight.,1499,125.36
2024-06-15,Entertainment,Cash,Usually southern.,1970,163.05
2024-06-28,Shopping,Online,Change could discuss.,2569,35.38
2024-06-11,Subscriptions,Cash,Phone amount each yes.,969,0.0
2024-06-28,Transportation,Cash,Check choice goal five detail.,216,0.0
2024-06-28,Subscriptions,Cash,Middle break condition although campaign.,387,0.0
2024-06-10,Shopping,Online,Might stop.,3337,69.66
2024-06-08,Shopping,Online,Event hair her.,2467,237.14
2024-06-16,Entertainment,Cash,Evidence force accept president right.,782,60.75
2024-06-01,Subscriptions,Online,Kid thousand last mean.,500,0.0
2024-06-02,Gifts,Online,Sit woman possible perhaps nor.,4205,0.0
2024-06-22,Entertainment,Online,Half financial kitchen get.,1137,36.17
2024-06-24,Subscriptions,Cash,Bank new onto son head.,270,0.0
2024-06-25,Entertainment,Online,Tv industry though.,558,52.57
2024-06-12,Education,Online,Compare writer sing rule.,7769,0.0
2024-06-22,Education,Cash,Officer allow sort set.,3066,0.0
2024-06-18,Groceries,Online,More turn.,930,36.41
2024-06-24,Travel,Cash,Water area image stuff.,4097,327.11
