Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-08-23,Travel,Online,Turn month keep.,1305,111.73
2024-08-23,Bills,Cash,Man away.,1390,73.27
2024-08-01,Education,Cash,Word success car which.,6510,0.0
2024-08-21,Gifts,Online,Activity season.,2080,0.0
2024-08-09,Travel,Cash,Mission walk owner.,4109,407.08
2024-08-30,Miscellaneous,Online,Half size more.,2734,0.0
2024-08-08,Healthcare,Cash,While special miss.,2759,0.0
2024-08-11,Miscellaneous,Cash,Able thing.,1998,0.0
2024-08-28,Entertainment,Cash,Phone pattern down put.,1469,128.9
2024-08-19,Transportation,Online,Involve throughout him.,887,0.0
2024-08-24,Miscellaneous,Cash,Evening draw when.,767,0.0
2024-08-14,Healthcare,Online,Media yard direction according brother.,3367,0.0
2024-08-17,Food,Online,Not they this where.,464,10.42
2024-08-22,Travel,Cash,Image two thank involve.,13172,916.44
2024-08-20,Groceries,Online,Entire particular around read should.,624,33.05
2024-08-19,Gifts,Online,Heavy fact purpose current.,4304,0.0
2024-08-08,Subscriptions,Online,Garden religious myself open.,591,0.0
2024-08-02,Entertainment,Online,Sell father seek partner his.,357,31.13
2024-08-25,Shopping,Online,Collection show put kid.,458,44.19
2024-08-07,Bills,Cash,Some final space claim.,3087,86.53
2024-08-10,Education,Cash,As rather east some data.,8322,0.0
2024-08-01,Education,Cash,Four know source.,2514,0.0
2024-08-05,Groceries,Online,Final forget.,1165,83.53
2024-08-26,Travel,Cash,Person sea.,4110,101.39
2024-08-26,Food,Online,Answer quality democratic.,224,20.81
2024-08-17,Healthcare,Online,Home they.,4459,0.0
2024-08-15,Transportation,Cash,Mother deal loss reflect.,741,0.0
2024-08-23,Shopping,Online,Push practice trip gas.,1923,50.92
2024-08-14,Gifts,Cash,Low rate project enjoy space.,3461,0.0
2024-08-30,Bills,Online,Better appear.,2288,210.35
2024-08-25,Entertainment,Online,Food sort child imagine.,355,10.09
2024-08-26,Healthcare,Online,History hear media police.,634,0.0
2024-08-23,Education,Online,Community course strong cause.,6390,0.0
2024-08-19,Education,Online,Your treat.,6550,0.0
2024-08-02,Entertainment,Cash,Position edge.,1258,87.74
2024-08-30,Subscriptions,Online,Century perhaps after big community.,663,0.0
2024-08-19,Healthcare,Online,Person blood seem.,456,0.0
2024-08-06,Miscellaneous,Cash,Near whose share.,1913,0.0
2024-08-02,Food,Online,Mr same although that.,370,5.38
2024-08-22,Travel,Online,Fund charge industry degree.,10751,382.5
2024-08-28,Gifts,Cash,South heart order.,2024,0.0
2024-08-06,Bills,Cash,Someone possible activity.,953,84.71
2024-08-20,Subscriptions,Cash,Discuss top spend peace.,892,0.0
2024-08-06,Miscellaneous,Cash,Become write throw manager.,1062,0.0
2024-08-09,Miscellaneous,Cash,Even speech deal we.,554,0.0
2024-08-13,Food,Online,Lose sense per summer.,254,22.73
2024-08-04,Miscellaneous,Cash,Pull point mean maintain.,2834,0.0
2024-08-25,Transportation,Cash,Size game bit.,661,0.0
2024-08-11,Shopping,Cash,Information race citizen smile.,2997,132.18
2024-08-01,Travel,Online,Book similar.,12049,1194.99
2024-08-01,Transportation,Online,Effort here.,540,0.0
2024-08-30,Bills,Online,Explain look red although.,1233,104.27
2024-08-27,Subscriptions,Cash,Pay eat his they continue.,286,0.0
2024-08-03,Education,Online,Stage begin structure positive evidence.,2198,0.0
2024-08-02,Groceries,Cash,Interesting physical someone security program.,1926,32.44
2024-08-04,Subscriptions,Online,Commercial interesting dream.,921,0.0
2024-08-13,Transportation,Online,Job between without rule.,430,0.0
2024-08-08,Shopping,Cash,Example more seat.,2791,39.6
2024-08-28,Miscellaneous,Online,Tough develop new wear.,2092,0.0
2024-08-14,Education,Online,Best argue size.,8801,0.0
2024-08-11,Travel,Cash,Point that our avoid.,6712,392.78
2024-08-01,Gifts,Online,Recent throughout suffer event.,3386,0.0
2024-08-18,Education,Cash,Point there full.,5268,0.0
2024-08-07,Food,Cash,Skill lead state.,239,8.25
2024-08-13,Entertainment,Cash,Father expert small.,1860,42.32
2024-08-03,Miscellaneous,Online,I spring measure.,2511,0.0
2024-08-06,Miscellaneous,Cash,Turn plant yard receive car.,2226,0.0
2024-08-29,Bills,Online,Before friend must improve notice.,2279,131.54
2024-08-22,Miscellaneous,Online,Positive mention.,143,0.0
2024-08-10,Gifts,Online,Through all matter miss.,3782,0.0
2024-08-28,Shopping,Cash,Policy sure during.,2802,71.79
2024-08-18,Subscriptions,Online,Perhaps daughter moment kitchen.,846,0.0
2024-08-01,Travel,Online,Summer difficult such.,11972,751.01
2024-08-05,Miscellaneous,Cash,Accept purpose score family.,2315,0.0
2024-08-26,Entertainment,Cash,Fire notice evidence response.,2250,205.49
2024-08-27,Travel,Online,International magazine stuff.,5024,132.51
2024-08-02,Entertainment,Online,Until myself health.,1047,29.48
2024-08-22,Miscellaneous,Online,Congress dog follow young.,351,0.0
2024-08-29,Subscriptions,Online,Fight man.,622,0.0
2024-08-06,Transportation,Cash,Rich how last.,385,0.0
2024-08-19,Food,Cash,Example community.,161,14.62
2024-08-21,Travel,Online,Break shake part.,1694,45.99
2024-08-08,Education,Cash,Or north great can current.,6566,0.0
2024-08-16,Bills,Online,Television realize people town world.,3861,291.72
2024-08-11,Subscriptions,Online,Happen old.,550,0.0
2024-08-27,Shopping,Online,Call Mrs two quickly.,2795,108.34
2024-08-30,Education,Cash,Short tax sound international expert.,7552,0.0
2024-08-07,Groceries,Online,Down on under memory risk.,793,62.17
2024-08-06,Subscriptions,Cash,Tell recognize simple bad husband.,301,0.0
2024-08-10,Miscellaneous,Online,Right tonight.,2589,0.0
2024-08-01,Shopping,Cash,Old value ahead hand.,3066,291.69
2024-08-26,Education,Cash,Short in soldier try.,3441,0.0
2024-08-04,Subscriptions,Online,Fly a agree.,428,0.0
2024-08-08,Travel,Cash,Lead accept.,4115,271.17
2024-08-01,Miscellaneous,Online,Get report.,2559,0.0
2024-08-14,Education,Online,Necessary option if accept chair.,2985,0.0
2024-08-09,Shopping,Cash,Speak issue power.,2977,164.67
2024-08-21,Entertainment,Cash,Someone program PM customer mind.,755,61.31
2024-08-19,Bills,Cash,Offer later later.,3860,82.69
2024-08-22,Entertainment,Cash,Increase energy major argue.,2036,87.61
2024-08-03,Food,Online,Hot indeed age tax.,548,10.2
2024-08-12,Miscellaneous,Cash,Pattern case first how food.,353,0.0
2024-08-13,Transportation,Online,Lay bar lay.,1320,0.0
2024-08-06,Entertainment,Online,Include many write talk.,1107,62.95
2024-08-10,Entertainment,Cash,Ground fight compare first clear.,1419,118.54
2024-08-15,Miscellaneous,Cash,Than customer stand.,2146,0.0
2024-08-24,Entertainment,Cash,Student trouble act usually.,1029,40.19
2024-08-27,Miscellaneous,Online,Role us.,607,0.0
2024-08-17,Travel,Cash,End baby.,11733,571.34
2024-08-08,Transportation,Cash,Market see trial personal.,1429,0.0
2024-08-24,Groceries,Online,Land course nature Democrat.,1733,101.47
2024-08-22,Healthcare,Cash,Better lead because someone rise.,1456,0.0
2024-08-05,Shopping,Online,Teach western question laugh sister.,908,86.21
2024-08-23,Bills,Cash,Way thus past.,4285,104.75
2024-08-23,Transportation,Online,Term hear indeed price.,376,0.0
2024-08-24,Shopping,Online,Peace ten event learn economic.,1653,110.02
2024-08-10,Transportation,Online,Husband difficult.,614,0.0
2024-08-23,Groceries,Online,Necessary situation.,1251,40.72
2024-08-26,Bills,Cash,Debate security push assume.,2161,58.09
2024-08-24,Miscellaneous,Cash,Fly hotel let point.,1116,0.0
2024-08-23,Entertainment,Online,Mind media though six stock.,602,28.75
2024-08-16,Education,Online,Toward yeah scientist.,3924,0.0
2024-08-15,Groceries,Online,Speech point lead step.,565,44.14
2024-08-07,Subscriptions,Online,Clearly body especially sense.,828,0.0
2024-08-05,Food,Online,Best decade.,308,22.86
2024-08-13,Subscriptions,Cash,Score prove set deal vote.,925,0.0
2024-08-17,Food,Cash,Ok worker process.,548,20.09
2024-08-25,Food,Online,Social husband light official fish.,308,19.81
2024-08-05,Groceries,Online,Tax us wear.,1500,98.81
2024-08-09,Food,Online,Operation lawyer ball.,438,27.2
2024-08-21,Healthcare,Cash,School around course.,3204,0.0
2024-08-10,Transportation,Online,Main tree between vote.,277,0.0
2024-08-09,Travel,Online,Author until week.,1682,45.98
2024-08-06,Transportation,Online,Popular have address.,343,0.0
2024-08-15,Groceries,Cash,Only still.,343,23.74
2024-08-27,Transportation,Online,Energy interest citizen.,330,0.0
2024-08-24,Gifts,Cash,Paper blue work.,2818,0.0
2024-08-28,Entertainment,Online,Kid pick.,591,15.49
2024-08-11,Entertainment,Cash,Success wait heart.,1693,100.24
2024-08-02,Subscriptions,Cash,Artist much.,749,0.0
2024-08-23,Groceries,Online,Reason radio.,573,42.85
2024-08-22,Groceries,Online,Enter ready middle.,777,36.67
2024-08-03,Miscellaneous,Cash,Citizen protect create.,384,0.0
2024-08-17,Subscriptions,Online,Heart everyone short at.,970,0.0
2024-08-26,Healthcare,Cash,Offer Democrat real safe join.,644,0.0
2024-08-11,Transportation,Cash,Main energy above.,207,0.0
2024-08-04,Shopping,Cash,Service never.,3121,148.58
2024-08-28,Miscellaneous,Online,Off film everyone raise.,2516,0.0
2024-08-10,Education,Online,Green bag would scientist national.,615,0.0
2024-08-05,Travel,Cash,Him next start.,11752,702.85
2024-08-25,Transportation,Online,Finish language pattern.,962,0.0
2024-08-24,Bills,Cash,Magazine avoid save indeed.,2948,221.13
2024-08-21,Shopping,Online,You difficult center floor.,1880,152.67
2024-08-02,Subscriptions,Cash,End later visit.,540,0.0
2024-08-17,Groceries,Online,Western behind candidate success major.,1245,114.54
2024-08-14,Subscriptions,Cash,Control he possible company.,240,0.0
2024-08-30,Miscellaneous,Cash,Mind late or last.,175,0.0
2024-08-22,Entertainment,Online,Training whatever president.,823,79.26
2024-08-15,Entertainment,Cash,Ten question mind kid.,1674,132.77
2024-08-13,Education,Online,Great far of information.,6155,0.0
2024-08-04,Bills,Online,Serious language send about.,2097,78.22
2024-08-06,Shopping,Online,Everyone alone leave.,1832,53.91
2024-08-18,Groceries,Cash,Court focus customer add.,994,14.17
2024-08-15,Transportation,Cash,Better throughout impact.,64,0.0
2024-08-04,Groceries,Online,Last moment find take.,1029,101.13
2024-08-25,Shopping,Cash,Born simply for.,759,54.41
2024-08-29,Shopping,Cash,Position other instead people.,3478,160.73
2024-08-01,Groceries,Cash,End condition measure.,1101,104.0
2024-08-30,Miscellaneous,Online,Worker hear drop role.,2774,0.0
2024-08-21,Subscriptions,Online,Report training throughout or short.,729,0.0
2024-08-14,Healthcare,Cash,Family treatment.,2628,0.0
2024-08-06,Travel,Cash,Above international wide.,13400,235.38
2024-08-05,Healthcare,Cash,Ball carry body both.,1626,0.0
2024-08-14,Miscellaneous,Cash,Tell order great.,958,0.0
2024-08-16,Gifts,Online,Structure suffer moment take.,4026,0.0
2024-08-19,Healthcare,Online,Message north.,3306,0.0
2024-08-14,Miscellaneous,Cash,Occur girl face plan best.,1815,0.0
2024-08-13,Travel,Online,Tax day.,9585,800.23
2024-08-20,Healthcare,Cash,Local finish job.,4157,0.0
2024-08-12,Healthcare,Online,Fact word reduce.,1598,0.0
2024-08-15,Groceries,Cash,Peace attorney threat idea movement.,336,32.61
2024-08-18,Travel,Online,Way perhaps show wish.,11425,1113.1
2024-08-14,Shopping,Online,Must day item.,2656,246.32
2024-08-23,Bills,Online,Call long face.,2808,105.46
2024-08-17,Entertainment,Online,Art into.,1003,38.12
2024-08-12,Transportation,Online,Course operation rise affect example.,1363,0.0
2024-08-24,Education,Cash,Tonight public thank particularly heart.,4667,0.0
2024-08-17,Miscellaneous,Online,Down tree.,419,0.0
2024-08-25,Bills,Online,Particular let tree sense beautiful.,4987,351.8
2024-08-18,Gifts,Cash,Black knowledge.,3917,0.0
2024-08-02,Transportation,Cash,Why site choose.,1132,0.0
2024-08-20,Food,Online,Mission issue fill line.,317,28.88
2024-08-18,Transportation,Online,Trial specific catch tax read.,192,0.0
2024-08-04,Travel,Online,Catch unit relationship.,1474,100.71
2024-08-03,Entertainment,Online,Just catch market.,200,5.77
2024-08-21,Shopping,Cash,Find whom well.,744,27.59
2024-08-09,Shopping,Online,Out million.,1396,35.74
2024-08-07,Gifts,Online,Consumer ten letter attack.,3213,0.0
