Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-11-12,Miscellaneous,Online,Experience sort of candidate.,1796,0.0
2024-11-25,Transportation,Online,Range discuss.,1152,0.0
2024-11-19,Transportation,Online,Party single often.,1057,0.0
2024-11-28,Gifts,Online,Nearly space.,4405,0.0
2024-11-27,Food,Cash,Up itself protect yourself.,585,9.66
2024-11-02,Miscellaneous,Online,Fight hotel painting about edge.,2610,0.0
2024-11-17,Gifts,Online,Ball shoulder paper growth.,2319,0.0
2024-11-24,Gifts,Online,Every lot reveal record.,1655,0.0
2024-11-28,Gifts,Cash,Agent trial fall industry go.,2823,0.0
2024-11-24,Healthcare,Cash,Learn stuff.,621,0.0
2024-11-03,Entertainment,Cash,Enter arrive worry.,1711,61.54
2024-11-21,Gifts,Cash,Develop seven trade culture both.,2032,0.0
2024-11-19,Food,Cash,Once garden how son.,558,32.06
2024-11-09,Shopping,Cash,Respond network run anyone professional.,1174,48.4
2024-11-04,Bills,Cash,Need and whatever near skill.,3387,102.18
2024-11-12,Travel,Online,Necessary whole determine property six.,4476,154.23
2024-11-26,Groceries,Cash,Key watch various morning.,1094,14.9
2024-11-25,Entertainment,Cash,Time wait.,1900,61.57
2024-11-18,Travel,Online,Baby would town.,8916,798.08
2024-11-21,Miscellaneous,Online,While management green.,999,0.0
2024-11-07,Gifts,Cash,Get sit.,2168,0.0
2024-11-21,Shopping,Online,Purpose even.,3241,125.55
2024-11-03,Transportation,Cash,Sound other.,995,0.0
2024-11-05,Bills,Cash,Special set avoid.,3514,121.68
2024-11-12,Healthcare,Cash,Score us question establish wall.,944,0.0
2024-11-07,Bills,Cash,Party remain wide pressure.,1148,56.27
2024-11-17,Gifts,Online,Where science point.,4581,0.0
2024-11-03,Food,Online,Hand at operation.,299,24.81
2024-11-17,Travel,Online,Again enough hit.,11645,283.21
2024-11-07,Entertainment,Online,Hot size light.,2130,120.08
2024-11-16,Miscellaneous,Cash,Technology side usually box.,1335,0.0
2024-11-07,Healthcare,Online,Trial gun blood would.,3275,0.0
2024-11-26,Groceries,Online,Information sometimes.,1757,149.65
2024-11-10,Groceries,Cash,Network its serious must evening.,1972,20.86
2024-11-10,Shopping,Online,Loss a parent artist.,616,24.18
2024-11-21,Entertainment,Online,Father watch military yourself.,2031,195.76
2024-11-08,Subscriptions,Online,Politics short.,205,0.0
2024-11-27,Travel,Online,Degree realize drug.,2015,144.88
2024-11-02,Subscriptions,Online,Say natural probably tend.,243,0.0
2024-11-15,Travel,Online,Rather quickly member.,4132,122.81
2024-11-19,Groceries,Online,Arrive material general politics.,972,84.18
2024-11-02,Healthcare,Cash,Site case base game.,2479,0.0
2024-11-10,Shopping,Cash,Voice cover week.,1733,82.28
2024-11-10,Bills,Cash,Represent society their man.,1611,57.3
2024-11-27,Bills,Cash,At young.,3746,292.44
2024-11-06,Shopping,Cash,Instead member.,3415,50.33
2024-11-08,Miscellaneous,Cash,Leader firm plan.,1241,0.0
2024-11-07,Miscellaneous,Online,Brother situation get whom subject.,776,0.0
2024-11-20,Shopping,Cash,Agent message.,600,20.67
2024-11-09,Groceries,Online,President check effect.,1648,85.55
2024-11-11,Healthcare,Cash,Fast every new.,4896,0.0
2024-11-08,Miscellaneous,Online,People discussion particular.,2118,0.0
2024-11-03,Bills,Online,First never school father.,1023,31.89
2024-11-13,Education,Online,Budget cause risk simply.,5744,0.0
2024-11-10,Transportation,Cash,Base challenge usually.,1120,0.0
2024-11-06,Healthcare,Cash,Pretty adult film suffer.,1189,0.0
2024-11-17,Food,Online,Way wait interview kitchen left.,387,4.09
2024-11-21,Bills,Cash,We factor occur light.,3917,108.73
2024-11-29,Healthcare,Online,Seem food pass.,1047,0.0
2024-11-28,Subscriptions,Online,Guess win behind authority.,977,0.0
2024-11-16,Healthcare,Online,Live game.,2865,0.0
2024-11-08,Miscellaneous,Cash,Fund when improve nature.,754,0.0
2024-11-28,Subscriptions,Online,Receive likely second.,496,0.0
2024-11-28,Healthcare,Online,Scientist order notice line.,3868,0.0
2024-11-03,Gifts,Online,Body him good seek network.,546,0.0
2024-11-27,Education,Cash,Car get.,2418,0.0
2024-11-14,Food,Cash,Other surface respond design impact.,172,8.54
2024-11-22,Food,Cash,Your we marriage very finish.,295,8.7
2024-11-10,Groceries,Online,Cover about short three.,1732,170.41
2024-11-21,Subscriptions,Cash,Brother reason economy side word.,217,0.0
2024-11-03,Miscellaneous,Online,Edge green happen mouth.,2513,0.0
2024-11-01,Miscellaneous,Online,Close system positive any.,1913,0.0
2024-11-10,Bills,Online,Back line where either.,2158,114.97
2024-11-18,Transportation,Cash,Full process level bag.,686,0.0
2024-11-21,Gifts,Cash,Sort ground beautiful.,4593,0.0
2024-11-23,Entertainment,Cash,Top threat fly daughter plan.,1758,172.43
2024-11-15,Healthcare,Online,Baby read institution lead.,4390,0.0
2024-11-03,Transportation,Online,Across its scene.,894,0.0
2024-11-21,Gifts,Online,Budget arrive state.,3094,0.0
2024-11-25,Entertainment,Online,Community worry.,1719,154.05
2024-11-29,Education,Cash,School focus other experience.,7059,0.0
2024-11-22,Education,Online,Discuss power physical low time.,4567,0.0
2024-11-16,Bills,Online,Design quickly sort.,4161,233.19
2024-11-20,Travel,Online,Finally energy he.,13025,1191.37
2024-11-27,Bills,Cash,Word company doctor cold.,2146,56.71
2024-11-26,Groceries,Cash,Low over.,1860,88.74
2024-11-01,Bills,Online,Life size race because far.,4437,315.85
2024-11-28,Food,Online,Dog last.,152,10.35
2024-11-23,Shopping,Cash,Improve recognize.,1582,72.0
2024-11-06,Groceries,Cash,Still idea mouth six.,1715,26.31
2024-11-13,Subscriptions,Cash,Add article anything.,990,0.0
