Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-04-25,Gifts,Online,Least while situation.,3703,0.0
2024-04-07,Gifts,Cash,Produce miss.,4044,0.0
2024-04-12,Travel,Cash,Political forward.,4129,336.61
2024-04-20,Subscriptions,Cash,Bar onto line.,285,0.0
2024-04-04,Entertainment,Cash,Cup window.,2297,220.53
2024-04-19,Education,Online,Wonder you receive here.,6717,0.0
2024-04-20,Food,Online,Let nature beautiful successful.,234,13.09
2024-04-01,Shopping,Online,Spring behavior free instead.,3163,266.55
2024-04-18,Travel,Cash,Prove side role guess.,3257,122.29
2024-04-24,Travel,Cash,Here drug face husband.,7080,552.96
2024-04-11,Groceries,Online,Among low the.,1309,69.25
2024-04-29,Bills,Cash,Past analysis education much.,4312,379.56
2024-04-29,Travel,Online,Table worry.,12755,672.3
2024-04-25,Bills,Online,Card thought ground campaign.,4965,456.9
2024-04-01,Subscriptions,Online,Parent develop executive choice over.,711,0.0
2024-04-18,Healthcare,Online,Drive tough fact.,4179,0.0
2024-04-03,Food,Cash,Strategy ready.,531,25.37
2024-04-08,Healthcare,Cash,Our federal.,3964,0.0
2024-04-12,Healthcare,Online,Like tough main.,1895,0.0
2024-04-17,Travel,Cash,Week natural day.,3612,147.14
2024-04-17,Entertainment,Cash,Cup staff former level.,1548,55.68
2024-04-28,Education,Cash,Ask social trade need defense.,4938,0.0
2024-04-28,Transportation,Online,Move country.,631,0.0
2024-04-14,Education,Online,Ok truth prevent race.,9283,0.0
2024-04-15,Transportation,Online,Talk analysis cost minute determine.,274,0.0
2024-04-16,Bills,Cash,Every interest message old baby.,3301,216.95
2024-04-16,Travel,Cash,Parent worker question.,8165,267.34
2024-04-20,Gifts,Cash,Hold level.,563,0.0
2024-04-18,Groceries,Cash,Check heavy.,1857,163.26
2024-04-23,Entertainment,Cash,Determine particularly with.,1505,101.9
2024-04-24,Groceries,Cash,Make whose response professional.,1070,48.68
2024-04-24,Bills,Online,Gas method avoid house.,4412,50.98
2024-04-07,Transportation,Online,Young thousand difference sure.,952,0.0
2024-04-03,Gifts,Cash,Treat several today specific.,809,0.0
2024-04-04,Transportation,Cash,Sound everything.,1133,0.0
2024-04-05,Bills,Online,Conference discover produce technology.,2218,166.87
2024-04-24,Bills,Cash,Car room blue.,2869,235.84
2024-04-27,Food,Online,Think land.,336,21.31
2024-04-19,Gifts,Online,Need cover.,3996,0.0
2024-04-29,Entertainment,Online,Machine office laugh.,1919,46.42
2024-04-22,Education,Online,Lawyer pattern.,8025,0.0
2024-04-17,Miscellaneous,Cash,Teach high.,1610,0.0
2024-04-14,Travel,Cash,Consider total although expert girl.,7768,313.47
2024-04-29,Transportation,Online,Painting hotel employee consumer.,418,0.0
2024-04-23,Bills,Online,Network quite can free recent.,504,16.01
2024-04-21,Groceries,Cash,Artist certainly else.,1633,91.0
2024-04-08,Miscellaneous,Online,Prevent others reach interesting.,1852,0.0
2024-04-25,Subscriptions,Online,Full each add almost.,684,0.0
2024-04-04,Transportation,Online,Likely expect.,1202,0.0
2024-04-12,Shopping,Online,Several ten owner.,2526,175.42
2024-04-29,Food,Cash,Thousand concern all life.,438,25.13
2024-04-26,Groceries,Online,Interesting resource onto.,1555,151.39
2024-04-09,Groceries,Online,Property professor deal.,457,6.27
2024-04-06,Miscellaneous,Cash,Able sort debate.,1933,0.0
2024-04-09,Travel,Online,First worry little quite.,8572,730.19
2024-04-22,Subscriptions,Online,Religious card attention name.,373,0.0
2024-04-03,Miscellaneous,Online,Voice create.,437,0.0
2024-04-15,Travel,Cash,Service seek Democrat bill.,11363,495.99
2024-04-14,Food,Cash,Your central human.,316,14.75
2024-04-05,Entertainment,Cash,Outside kitchen outside to develop.,2129,73.66
2024-04-02,Miscellaneous,Cash,Space physical.,658,0.0
2024-04-15,Travel,Online,Both ready hour spring organization.,11099,1082.43
2024-04-29,Subscriptions,Online,Music Congress magazine.,540,0.0
2024-04-11,Miscellaneous,Cash,Deal effort.,1398,0.0
2024-04-05,Shopping,Online,Whom enter anyone figure.,2912,291.06
2024-04-25,Gifts,Online,On family.,3470,0.0
2024-04-26,Subscriptions,Online,Who lead certain purpose.,597,0.0
2024-04-06,Groceries,Cash,Out score collection.,1403,42.87
2024-04-04,Healthcare,Cash,Different form way forward agree.,4277,0.0
2024-04-14,Groceries,Cash,Force send laugh.,565,6.6
2024-04-25,Transportation,Online,Southern cell final.,522,0.0
2024-04-26,Healthcare,Cash,Late never.,2874,0.0
2024-04-11,Groceries,Cash,Leader light his.,879,28.86
2024-04-16,Education,Online,Mean arm realize.,4220,0.0
2024-04-14,Healthcare,Online,Significant fact player.,1199,0.0
2024-04-03,Education,Cash,Someone end information.,5331,0.0
2024-04-06,Transportation,Cash,Adult miss his door.,1226,0.0
2024-04-08,Healthcare,Cash,Us fine military discover.,1230,0.0
2024-04-23,Subscriptions,Online,Side early create degree.,144,0.0
2024-04-03,Education,Online,Score until.,1722,0.0
2024-04-22,Healthcare,Cash,Wide hair long serve window.,4733,0.0
2024-04-01,Healthcare,Cash,Such figure.,3499,0.0
2024-04-06,Subscriptions,Online,It little move suggest.,285,0.0
2024-04-02,Gifts,Online,Position red each relate.,2958,0.0
2024-04-19,Travel,Cash,Tell dream most low become.,6069,349.09
2024-04-20,Gifts,Online,Prevent fear around this star.,1934,0.0
2024-04-23,Groceries,Cash,Wide nothing scene.,1466,77.35
2024-04-09,Miscellaneous,Online,Similar east information language why.,699,0.0
2024-04-29,Miscellaneous,Online,Compare present final agreement.,268,0.0
2024-04-28,Education,Online,Shoulder blue traditional worry why.,4544,0.0
2024-04-02,Entertainment,Cash,Leg whom fact government accept.,225,11.09
2024-04-05,Subscriptions,Online,Structure former.,416,0.0
2024-04-03,Bills,Online,Position little pull.,4180,258.92
2024-04-27,Shopping,Cash,Trip organization common stay.,1397,40.98
2024-04-10,Gifts,Online,In deal consider popular.,1212,0.0
2024-04-11,Gifts,Cash,Traditional form lot.,1966,0.0
2024-04-19,Subscriptions,Online,Him girl may gun concern.,320,0.0
2024-04-19,Groceries,Cash,Raise cover arm look feel.,1365,73.41
2024-04-12,Groceries,Online,Decision girl return.,456,36.43
2024-04-08,Bills,Cash,Power mind base not.,762,25.1
2024-04-29,Gifts,Online,Enough foreign.,2911,0.0
2024-04-29,Education,Cash,Church important.,3284,0.0
2024-04-02,Groceries,Cash,Fast it home.,748,42.68
2024-04-07,Food,Online,Customer policy serve debate.,149,7.18
2024-04-17,Entertainment,Online,Idea fine.,321,22.57
2024-04-24,Transportation,Online,Can paper.,457,0.0
2024-04-25,Food,Online,Manager down learn specific.,257,22.89
2024-04-28,Subscriptions,Cash,Fact care admit.,974,0.0
2024-04-15,Bills,Online,Far difficult.,2715,125.28
2024-04-14,Miscellaneous,Cash,Society drop near.,1340,0.0
2024-04-15,Healthcare,Cash,Ready service result realize room.,4675,0.0
2024-04-13,Gifts,Cash,Value main environment.,2309,0.0
2024-04-09,Bills,Online,Form indicate.,3401,239.5
2024-04-12,Subscriptions,Cash,Understand miss treatment property.,744,0.0
2024-04-25,Transportation,Cash,In floor standard.,245,0.0
2024-04-19,Miscellaneous,Online,Past season reach anything yeah.,2380,0.0
2024-04-13,Bills,Cash,Middle begin read.,4620,294.21
2024-04-24,Groceries,Cash,Current clear window trip.,1173,64.79
2024-04-09,Miscellaneous,Cash,Indicate notice enough almost major.,1496,0.0
2024-04-14,Bills,Cash,Above if film.,1862,84.22
2024-04-11,Travel,Online,Yourself quality however.,2847,209.39
2024-04-17,Healthcare,Cash,Individual business raise available.,688,0.0
2024-04-16,Travel,Online,Popular expert.,2719,135.56
2024-04-25,Food,Online,In eight man.,242,4.4
2024-04-06,Healthcare,Online,Bar set will.,3887,0.0
2024-04-26,Transportation,Online,Lose rest ago hot within.,1164,0.0
2024-04-23,Miscellaneous,Cash,Do detail debate sound.,815,0.0
